id,phoneNo,location,occupation,certification,age,gender,type,availabilityPreference,availability,minimumWage,experience,clientsAttended,aadharCard,doorstepService ,references,liscenced,shoppingliscence
1,9326523642,Ambegaon,Accountant,TRUE,26,Female,Full Time,Afternoon,Whole Day,9500,8,49,65660562714,no,FALSE,FALSE,TRUE
2,7029738484,Ambegaon,Brick mason,TRUE,36,Male,Part Time,Morning,Morning,4000,4,25,394729000000,no,FALSE,FALSE,TRUE
3,8386070476,Ambegaon,Carpenter,TRUE,31,Male,Part Time,Evening,Evening,5500,8,42,777557000000,yes,TRUE,FALSE,FALSE
4,8208265762,Ambegaon,Cashier,FALSE,20,Female,Part Time,Evening,Evening,2500,2,13,938143000000,no,TRUE,FALSE,TRUE
5,9127458171,Ambegaon,Childcare Worker,TRUE,33,Female,Full Time,Evening,Whole Day,2000,3,28,112614000000,yes,TRUE,FALSE,TRUE
6,8663358110,Ambegaon,Cook,FALSE,33,Male,Part Time,Afternoon,Afternoon,5000,8,40,449482000000,yes,TRUE,FALSE,TRUE
7,8421533240,Ambegaon,Driver,TRUE,38,Male,Part Time,Afternoon,Afternoon,2500,5,39,669436000000,yes,FALSE,FALSE,FALSE
8,8360631183,Ambegaon,Electrician,TRUE,21,Male,Part Time,Afternoon,Afternoon,9000,9,52,565056000000,yes,TRUE,FALSE,TRUE
9,9589410620,Ambegaon,Hairdresser,TRUE,30,Female,Full Time,Evening,Whole Day,5000,6,56,903792000000,no,FALSE,FALSE,FALSE
10,9154473545,Ambegaon,Janitor,FALSE,30,Male,Full Time,Evening,Whole Day,5000,7,45,704014000000,no,TRUE,FALSE,TRUE
11,8832009653,Ambegaon,Maid,TRUE,24,Female,Part Time,Afternoon,Afternoon,10000,10,51,559393000000,yes,FALSE,FALSE,TRUE
12,7581947908,Ambegaon,Mehndi Artist,FALSE,30,Female,Full Time,Evening,Whole Day,3500,2,9,236542000000,no,TRUE,FALSE,TRUE
13,9220938437,Ambegaon,Painter,FALSE,37,Male,Full Time,Evening,Whole Day,4500,5,37,214351000000,no,FALSE,FALSE,FALSE
14,9589612131,Ambegaon,Plumber,FALSE,20,Male,Full Time,Morning,Whole Day,3500,2,13,190848000000,yes,TRUE,FALSE,FALSE
15,9787334403,Ambegaon,Receptionist,FALSE,18,Female,Full Time,Afternoon,Whole Day,9500,6,45,803244000000,no,TRUE,FALSE,TRUE
16,9860160339,Ambegaon,Security Guard,FALSE,37,Male,Full Time,Morning,Whole Day,4000,5,39,922819000000,yes,TRUE,FALSE,TRUE
17,9101587195,Ambegaon,Tailor,FALSE,21,Male,Part Time,Morning,Morning,9000,6,41,634162000000,no,TRUE,FALSE,TRUE
18,8275636973,Ambegaon,Waiter,FALSE,20,Male,Full Time,Morning,Whole Day,9500,8,44,110379000000,no,FALSE,FALSE,TRUE
19,7526666063,Ambegaon,Waitress,TRUE,30,Female,Full Time,Evening,Whole Day,7000,6,52,818129000000,no,TRUE,FALSE,TRUE
20,8432269939,Ambegaon,Worker,TRUE,36,Male,Full Time,Afternoon,Whole Day,3000,4,20,615922000000,yes,TRUE,FALSE,TRUE
21,7681677131,Ambegaon,Salesperson,TRUE,32,Male,Part Time,Morning,Morning,7500,9,42,955827000000,no,TRUE,FALSE,FALSE
22,9140263882,Ambegaon,Delivery Boy,FALSE,26,Male,Full Time,Evening,Whole Day,2500,2,13,247623000000,yes,TRUE,FALSE,FALSE
23,7863250729,Ambegaon,Mechanic,FALSE,29,Male,Part Time,Morning,Morning,8000,10,40,737347000000,yes,FALSE,FALSE,FALSE
24,9380315466,Aundh,Accountant,FALSE,36,Male,Part Time,Evening,Evening,5500,8,49,645161000000,no,FALSE,FALSE,FALSE
25,9827394857,Aundh,Brick mason,TRUE,34,Male,Full Time,Evening,Whole Day,9000,6,56,671808000000,no,TRUE,FALSE,FALSE
26,7507225990,Aundh,Carpenter,TRUE,23,Male,Part Time,Afternoon,Afternoon,10000,9,42,704459000000,yes,FALSE,FALSE,FALSE
