name,phoneNo,location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
shivani,9326523642,0,0,1,2,0,0,3,2,2,4,0,0,0,1
ashu,7007298051,18,0,1,0,0,0,3,0,0,0,0,1,1,1
aabid,8448211927,11,0,0,0,1,0,3,0,1,3,0,1,0,0
bhatari,7760734404,7,0,1,3,0,0,3,1,1,4,0,0,0,0
supriya,7573765633,4,0,1,2,0,1,1,0,1,3,0,1,0,0
aman,9380315466,1,0,0,3,1,1,1,1,2,4,0,0,0,0
mayank sharma,8644326084,7,0,1,3,1,1,1,1,2,4,0,1,1,1
rini,7330229980,4,0,1,1,0,1,0,0,1,2,0,0,0,1
suraj,8469490319,12,0,1,0,1,1,2,0,1,3,0,1,0,0
preeti,8277468540,29,0,1,2,0,0,3,0,1,2,0,1,1,0
minakshi,9942053443,11,0,0,3,0,1,0,0,1,2,0,0,0,0
amit kumar,8813344687,12,0,1,3,1,1,1,0,1,2,0,1,1,1
aman,9538846805,8,0,0,2,1,0,3,2,2,4,0,0,0,0
munni,9645291194,35,0,1,3,0,1,2,2,2,4,0,0,1,1
amit @ gajju,9305264823,6,0,1,2,1,1,2,0,1,3,0,1,0,1
neetu,8308576303,5,0,1,1,0,1,1,0,0,0,0,0,0,1
noori,9578268470,6,0,1,1,1,0,3,2,2,4,0,0,1,0
meena,8623192636,5,0,1,0,0,0,3,0,1,2,0,1,0,0
laxami,8135927869,17,0,0,3,0,0,3,1,2,4,0,1,0,1
babita,9798099344,13,0,1,0,0,1,2,0,1,2,0,0,1,1
rohit,9594205467,9,0,0,1,1,1,2,1,2,4,0,1,0,1
ved kumar yadav,7683582864,0,0,1,1,1,1,2,0,1,3,0,1,1,1
nargis,8675906488,7,0,1,3,0,1,1,0,1,3,0,0,0,0
rabiya,7233764821,23,0,1,3,0,0,3,1,2,4,0,0,1,0
khushboo,9548612540,2,0,1,3,0,1,2,0,1,3,0,1,0,0
paramjeet kour,7362933271,6,0,0,1,1,1,0,0,1,2,0,1,0,1
kajal,9216941428,14,0,0,1,0,1,0,2,2,4,0,0,0,1
tanya chopra,9738635432,16,0,0,2,0,0,3,2,2,4,0,1,0,0
koyali,7465482037,11,0,0,3,0,1,1,0,1,2,0,1,0,1
yashika,9913845355,10,0,1,2,0,1,2,0,2,4,0,0,0,0
jyoti,9567495508,8,0,1,1,0,1,0,0,1,2,0,1,0,0
gulshan,9344615796,3,0,0,1,0,1,2,0,1,3,0,1,0,0
devi sharma,8747489795,27,0,0,3,0,1,1,2,1,4,0,0,0,1
kapil kumar,9903549654,17,0,1,3,1,0,3,1,2,4,0,0,1,0
faiz ahmad,9048267297,11,0,0,3,1,0,3,1,2,3,0,0,0,1
rohit,8672830750,36,0,0,3,1,0,3,0,1,2,0,1,0,1
ranjana singh,9304049929,9,0,0,3,0,0,3,0,1,3,0,1,0,1
kamlesh,8533166557,12,0,0,0,1,0,3,2,2,4,0,1,0,0
roshni,9087624702,4,0,0,1,0,1,1,0,0,0,0,0,0,0
manju,7460696065,28,0,1,2,0,0,3,2,1,4,0,0,1,1
shivani bhatnagar,7299635117,18,0,0,2,0,1,2,0,0,1,0,1,0,1
jyoti,8587927651,12,0,0,3,0,1,2,1,2,4,0,1,0,0
durgesh pandey,7068586165,10,0,0,3,1,1,2,0,0,1,0,1,0,1
tapas das,9795724072,6,0,1,3,0,1,1,1,2,4,0,1,0,0
devender @ sonu,9000004544,10,0,1,3,1,1,0,0,1,3,0,0,0,0
mosmi sekh,9694836009,19,0,1,3,0,0,3,0,2,4,0,1,1,0
anshu,8261349825,13,0,1,3,1,1,1,1,2,4,0,1,0,0
nashim,9527825541,27,0,0,3,1,0,3,1,1,4,0,0,0,0
balchand,9577184760,11,0,0,3,1,0,3,1,1,4,0,0,0,1
keshar ansari,8285893704,7,0,1,3,1,0,3,2,2,4,0,1,0,0
joyti,9756792950,13,0,0,3,0,1,1,0,0,1,0,1,0,0
bhawani shankar,8764491764,20,0,1,3,1,1,0,0,0,0,0,1,1,1
shivam,7671164726,16,0,0,2,1,0,3,2,2,4,0,0,0,0
amit,8003564536,12,0,1,3,1,0,3,0,1,2,0,0,0,0
monika,9773882491,8,0,1,0,0,0,3,1,2,4,0,1,0,0
nargish,9183996988,25,0,1,3,0,1,2,2,2,4,0,1,0,0
chaman lal verma,9871987464,21,0,1,0,1,1,2,1,1,4,0,0,1,1
shivani,8651080126,14,0,0,1,0,0,3,1,2,4,0,1,0,0
vansh,7452707086,17,0,0,3,1,1,1,2,2,4,0,1,0,1
mohd. hasan ali,8839529700,13,0,1,1,1,1,2,1,2,4,0,0,0,0
mohd khairul,7268839551,9,0,0,1,1,1,1,0,0,0,0,1,0,1
abdul sakur,9577253348,23,0,0,0,1,0,3,0,2,4,0,0,0,1
rinesh,9718613616,18,0,1,3,0,1,1,0,1,3,0,0,0,0
sunita,9023843069,16,0,1,1,0,0,3,0,0,0,0,1,0,0
ashwani kumar,9629288825,23,0,0,0,1,0,3,0,1,2,0,1,0,1
ramgopal singh,9731140110,9,0,1,1,1,1,0,1,2,4,0,1,1,0
naziya siddiqui,9437313331,10,0,1,3,0,0,3,1,2,4,0,1,0,0
